Date,Open,High,Low,Close,Volume,Adj Close
2014-07-03,93.669998,94.099998,93.199997,94.029999,22891800,91.105562
2014-07-02,93.870003,94.059998,93.089996,93.480003,28465000,90.572672
2014-07-01,93.519997,94.07,93.129997,93.519997,38223000,90.611421
2014-06-30,92.099998,93.730003,92.089996,92.93,49482300,90.039774
2014-06-27,90.82,92.00,90.769997,91.980003,64029000,89.119323
2014-06-26,90.370003,91.050003,89.800003,90.900002,32629000,88.072911
2014-06-25,90.209999,90.699997,89.650002,90.360001,36869000,87.549705
2014-06-24,90.75,91.739998,90.190002,90.279999,39036000,87.472191
2014-06-23,91.32,91.620003,90.599998,90.830002,43694000,88.005088
2014-06-20,91.849998,92.550003,90.900002,90.910004,100898000,88.082602
2014-06-19,92.290001,92.300003,91.339996,91.860001,35528000,89.003053
2014-06-18,92.269997,92.290001,91.349998,92.18,33514000,89.3131
2014-06-17,92.309998,92.699997,91.800003,92.080002,29726000,89.216212
2014-06-16,91.510002,92.75,91.449997,92.199997,35561000,89.332475
2014-06-13,92.199997,92.440002,90.879997,91.279999,54525000,88.44109
2014-06-12,94.040001,94.120003,91.900002,92.290001,54749000,89.41968
2014-06-11,94.129997,94.760002,93.470001,93.860001,45681000,90.940851
2014-06-10,94.730003,95.050003,93.57,94.25,62777000,91.318721
2014-06-09,92.699997,93.879997,91.75,93.699997,75415000,90.785823
2014-06-06,649.900002,651.259979,644.470024,645.570023,87484600,89.356011
2014-06-05,646.199997,649.370003,642.610008,647.349983,75951400,89.602383
2014-06-04,637.44001,647.890022,636.109993,644.819992,83870500,89.252197
2014-06-03,628.459991,638.740013,628.25,637.539986,73177300,88.244541
2014-06-02,633.959984,634.830017,622.500015,628.650009,92337700,87.014043
2014-05-30,637.979996,644.169991,628.900002,633.000015,141005200,87.616145
2014-05-29,627.849991,636.87001,627.769989,635.37999,94118500,87.945567
2014-05-28,626.019989,629.830009,623.779991,624.01001,78870400,86.371801
2014-05-27,615.879997,625.859985,615.630005,625.63002,87216500,86.596033
2014-05-23,607.25,614.730011,606.470009,614.129997,58052400,85.004268
2014-05-22,606.599998,609.850006,604.100021,607.269974,50190000,84.054744
2014-05-21,603.830002,606.699974,602.059975,606.310005,49214900,83.92187
2014-05-20,604.510017,606.399994,600.730011,604.710022,58709000,83.70041
2014-05-19,597.849998,607.330002,597.329987,604.590019,79438800,83.6838
2014-05-16,588.629974,597.529991,585.399994,597.510017,69064100,82.703828
2014-05-15,594.70002,596.599983,588.040001,588.819992,57711500,81.501005
2014-05-14,592.430008,597.400002,591.740005,593.869987,41601000,82.199996
2014-05-13,591.999985,594.540016,590.699982,593.760025,39934300,82.184776
2014-05-12,587.489975,593.659996,587.399986,592.830017,53302200,82.05605
2014-05-09,584.540001,586.25,580.330025,585.540024,72899400,81.047012
2014-05-08,588.249992,594.410027,586.400017,587.990013,57574300,81.386125
2014-05-07,595.249992,597.289986,587.72998,592.329979,70716100,81.531455
